token_address,s01_mint_authority,s02_freeze_authority,s03_upgradeable,s04_metadata_mutable,s05_lp_lock,s06_deployer_lp,s08_top10_holders,s09_whale_dominance,s10_sybil_clusters,s11_rug_history,s12_wallet_age,s13_suspicious_tx,s14_bot_spike,s15_wash_trading,s16_insider_dump,s17_social_verify,s18_fake_engagement,label,source
854f184909413bf99b0b59db874661ee96ac2dbee085,0.9752,0.818,0.7966,0.8119,0.8652,0.8148,0.8618,0.9607,0.7401,0.7906,0.8708,0.5866,0.7079,0.6462,0.8321,0.9686,0.7925,1,mock
f5247019260c0696b5e5069341f458d029f39beac212,0.9568,0.8698,0.7663,0.7617,0.7721,0.8355,0.8953,0.9285,0.7537,0.7008,0.8906,0.6243,0.7137,0.7077,0.7395,0.7926,0.6865,1,mock
fc6e96e03e19dfc19e8cf399664b543efe7c4b4931ab,1.0,0.704,0.7876,0.644,0.9259,0.8501,0.6934,0.9691,0.6827,0.8832,0.9214,0.6652,0.8814,0.8329,0.7223,0.8722,0.8235,1,mock
8dd597063264ffaa1842e3f69886f3dd8d7e16c047a1,0.1698,0.0294,0.0601,0.0645,0.133,0.0,0.1283,0.0476,0.1196,0.0039,0.0516,0.0377,0.0,0.1446,0.0419,0.1539,0.1078,0,mock
7b2cb5a9b6215c29e0064edfb64f00e458db08eb887f,0.8703,0.8977,0.7539,0.6647,0.9383,0.7468,0.7957,0.875,0.7504,0.7134,0.7697,0.5985,0.8344,0.6808,0.7249,0.8169,0.8022,1,mock
bc095ab74f9a77177b77300014378c756564383f9eae,0.0,0.1569,0.1419,0.1431,0.0066,0.0477,0.2286,0.0677,0.0,0.0641,0.0,0.1302,0.0291,0.2155,0.0173,0.0073,0.0748,0,mock
29ac086a36bd9367109aae7e9e5d8c4773231682acaa,0.0397,0.0976,0.1541,0.1431,0.0133,0.1045,0.2886,0.0471,0.0978,0.1256,0.0184,0.1084,0.1381,0.094,0.0592,0.0251,0.1967,0,mock
537cbc5a57792f32fa49559e38714abe14d499247e08,0.8689,0.8014,0.7119,0.7839,0.9274,0.6553,0.9106,0.8825,0.8289,0.8498,0.8345,0.7561,0.9117,0.6948,0.874,0.8592,0.746,1,mock
aa8e11b8da7341b584162b8194ef34c40eb3ed90d3d8,1.0,0.6946,0.745,0.6764,0.8947,0.7477,0.8983,0.7476,0.6494,0.826,0.7458,0.646,0.8319,0.7616,0.758,0.9687,0.7573,1,mock
907f7f658966d5f268a91aff245efeaa09a6c2f17a51,1.0,0.7143,0.7573,0.582,0.886,0.7356,0.8534,0.8807,0.6663,0.7788,0.8948,0.7864,0.7008,0.6541,0.8606,0.8715,0.7222,1,mock
2af6591cdcb46f4c155ca5bd50eda7823c865dedc999,0.9913,0.8483,0.6963,0.5824,0.9575,0.6505,0.8528,0.8473,0.812,0.8457,0.885,0.6978,0.8703,0.6523,0.7332,0.896,0.7035,1,mock
fd386de0742b7ee6977c40bc2cc45db617a553c074ce,0.0128,0.0158,0.0643,0.0887,0.0394,0.1155,0.2222,0.1985,0.0,0.0032,0.011,0.0,0.0583,0.0906,0.1672,0.1163,0.1763,0,mock
2f74861847080fb7aac94bb2da264aea35ff00558931,0.9202,0.8469,0.8356,0.7637,0.8213,0.6314,0.7644,0.9108,0.8348,0.9088,0.8306,0.7594,0.8111,0.7748,0.7329,0.7827,0.7346,1,mock
92fd85643c549e39d2870971fa87afda96f4af06996f,0.9196,0.7936,0.7574,0.6821,0.909,0.7094,0.8487,0.795,0.6903,0.709,0.7762,0.6087,0.8086,0.8129,0.7244,0.7819,0.7462,1,mock
c648047e9cd8154c8568f60085626000f5505fee048c,0.8714,0.7133,0.7023,0.6983,0.7452,0.7343,0.7811,0.8462,0.6485,0.7404,0.7892,0.73,0.8225,0.6769,0.7057,0.8031,0.8577,1,mock
1638aa0a1f8efb05ed82e24c110193d00b66affc9bc4,0.7966,0.8625,0.8138,0.6108,0.8441,0.762,0.7436,0.9394,0.7316,0.7308,0.8594,0.7552,0.7283,0.7048,0.9188,0.886,0.7351,1,mock
e4108b500bd287685512ec0adee2d8c2676fb09a523e,0.0,0.0,0.0187,0.065,0.1843,0.0,0.3152,0.1015,0.0173,0.0607,0.0315,0.1869,0.0,0.0521,0.1871,0.1047,0.1479,0,mock
67fc3bd8a4ffd7677a265d146b8654e88d4f7055a464,0.8194,0.9161,0.6885,0.6219,0.7684,0.7644,0.91,0.7856,0.7272,0.7243,0.8837,0.6837,0.687,0.7774,0.7274,0.8721,0.7233,1,mock
c431c62a1fe8a79cb07e1949ceeb90281a29ca9deef8,1.0,0.77,0.6368,0.8034,0.9314,0.786,0.8699,0.763,0.6989,0.8791,0.8971,0.6133,0.8493,0.7377,0.6813,0.749,0.6914,1,mock
d31595988e00ee41fe8fb35938f2b6f6e3e749a2189a,0.0517,0.1304,0.1861,0.0313,0.0269,0.0081,0.298,0.1685,0.012,0.0903,0.0967,0.1957,0.1239,0.0595,0.0988,0.2111,0.1079,0,mock
c6419ae94e88d70b24d6cd985094b18a1dc432c5f183,0.8549,0.8426,0.86,0.6752,0.9016,0.6482,0.8457,0.8805,0.6545,0.8654,0.9341,0.7241,0.7091,0.8661,0.8678,0.8133,0.7328,1,mock
0715f8b2d59f7c1ee1077f4370d13ada80e06984b543,0.8927,0.7891,0.6411,0.8153,0.8078,0.7989,0.8051,0.9291,0.8304,0.7432,0.8606,0.6217,0.8369,0.7177,0.8368,0.9305,0.754,1,mock
956d178d8aa70a07c24ede441cd021d07df3dcca939e,0.9878,0.7597,0.6599,0.6683,0.9435,0.8084,0.8947,0.8228,0.8637,0.7991,0.8494,0.8018,0.8046,0.8223,0.8545,0.7489,0.7746,1,mock
07bdcf2d1daafd74bbd9336032671c87031844021c2c,0.0506,0.0751,0.1509,0.0198,0.1845,0.0779,0.113,0.0264,0.0,0.1135,0.0,0.0248,0.0791,0.1582,0.1972,0.1619,0.0,0,mock
c5609a79f516a96a0bd1f712ef2b8e199c1453a2f0ec,0.0836,0.0171,0.06,0.0,0.1885,0.0142,0.0824,0.0705,0.1625,0.0209,0.0,0.1822,0.0222,0.1548,0.0336,0.1771,0.0775,0,mock
a2a1a7f836fb619c39f8a4b86e3dd4586c6010957e72,0.0018,0.104,0.0557,0.0586,0.03,0.1245,0.2719,0.1931,0.0149,0.1627,0.0,0.0,0.2161,0.1304,0.1622,0.117,0.0535,0,mock
393717d0341da4ba12a1a9e584a96d6f8469059cb64d,0.9018,0.7545,0.7385,0.5937,0.9296,0.6484,0.8874,0.9353,0.7776,0.8017,0.8411,0.713,0.87,0.845,0.7879,0.9244,0.7864,1,mock
56b74bc3edc73ff50e07d9a3b1a52db241ced7293d64,0.9609,0.909,0.7025,0.7535,0.7327,0.7869,0.8463,0.7449,0.6584,0.7536,0.8273,0.7006,0.8948,0.7989,0.7546,0.7582,0.8499,1,mock
bb5a29aef2fd63dba2848cb4318f288ceedefee9353e,0.0,0.0565,0.1059,0.097,0.1269,0.0,0.2551,0.131,0.1669,0.0461,0.0953,0.1841,0.2167,0.0489,0.1061,0.056,0.0861,0,mock
ce1c0eb0ead1815afdac2ad2d272c4604da5f9a5b7a7,0.0955,0.0683,0.1978,0.0729,0.0521,0.1354,0.2183,0.0,0.0,0.115,0.0135,0.1561,0.08,0.1883,0.1687,0.0344,0.1167,0,mock
5c753eb463051f61b534ee3176578b226700cdb36a26,0.9389,0.7977,0.7674,0.6659,0.9182,0.7063,0.7328,0.7741,0.6464,0.8012,0.8298,0.7089,0.7021,0.6831,0.7312,0.8097,0.7166,1,mock
d259ac0f79f95e9116b61039ed145fcfa2ebf5397da1,0.925,0.8286,0.7031,0.702,0.7796,0.7912,0.9081,0.8172,0.643,0.7335,0.8391,0.7144,0.8287,0.7436,0.8377,0.9018,0.6574,1,mock
55f58a991b3b3ef90b9b24beb3e5b9e156adca6b2505,0.1696,0.0363,0.0646,0.0056,0.218,0.0379,0.1692,0.1634,0.0333,0.1042,0.076,0.0952,0.0313,0.1638,0.1823,0.041,0.1908,0,mock
5e16327b3a36ed0355ec4c45bf1db236e5af291c4643,0.9503,0.7802,0.6576,0.585,0.8079,0.8223,0.8284,0.9297,0.8507,0.7012,0.9327,0.6384,0.8213,0.7558,0.775,0.8045,0.7115,1,mock
653a3c188cbf6212513ee7734f7cffebc8d0faa71f00,0.8351,0.8726,0.8195,0.6715,0.8714,0.8079,0.8628,0.8972,0.6535,0.7121,0.8445,0.6358,0.8862,0.698,0.8904,0.8281,0.6754,1,mock
b5db6fadf0bd4e91dfce566dc001d372d2fdae0f43df,0.0927,0.1677,0.1619,0.0239,0.1067,0.0279,0.2471,0.0268,0.1355,0.0245,0.0,0.1405,0.1193,0.1732,0.164,0.1503,0.0698,0,mock
23a10d6722603864a18f043caa940d0334acd8279d09,0.1355,0.0,0.1375,0.146,0.1159,0.1921,0.295,0.147,0.0,0.0421,0.1547,0.1133,0.2014,0.0463,0.0625,0.1968,0.1448,0,mock
9f65da454f3c7fcfe1e5d6ee49d525733a1a44e39379,0.0651,0.0022,0.0749,0.0,0.0135,0.0936,0.1471,0.0837,0.0765,0.1598,0.0064,0.1237,0.0622,0.0427,0.1406,0.0887,0.019,0,mock
8336ac561e2d51f9d67e6ebb6bb5bb2f34c38f321245,0.8864,0.7109,0.8472,0.779,0.8096,0.6402,0.7906,0.7703,0.7677,0.8772,0.8248,0.5871,0.844,0.6715,0.7315,0.7749,0.6972,1,mock
9641d04f06616283b6645ff736f29a5df8acf6b93429,0.879,0.8822,0.6855,0.7497,0.7322,0.7514,0.7696,0.8783,0.79,0.828,0.846,0.6971,0.6816,0.7624,0.6828,0.8571,0.6959,1,mock
d73d718218b8df3349c9d6395bd503af2fbd0380187a,0.1333,0.1652,0.0567,0.0176,0.143,0.1512,0.2047,0.1244,0.0,0.0249,0.0592,0.0705,0.0147,0.2063,0.1609,0.1,0.0694,0,mock
4593bbd969b89a95276a659a9b2b41632245d3252242,0.0,0.0,0.0419,0.0117,0.0653,0.0,0.2907,0.0442,0.0,0.0956,0.0537,0.1207,0.1495,0.2024,0.0651,0.0897,0.162,0,mock
72dc3102016f3348fd1ced15b0948feefa663ba59da7,0.9498,0.8734,0.8495,0.715,0.9623,0.7637,0.7122,0.7883,0.6788,0.8352,0.9513,0.7833,0.7022,0.8039,0.7257,0.7944,0.7917,1,mock
d342e0edd5be7f622424b82861d12a21d469e6f48087,0.9463,0.8766,0.821,0.6782,0.8498,0.782,0.7381,0.8881,0.8017,0.8694,0.7478,0.8178,0.795,0.7262,0.8016,0.9509,0.796,1,mock
f90bea7b60a55f9ab71687f42694e32fadae57eaa86d,0.9774,0.8109,0.7071,0.5992,0.8886,0.7036,0.8246,0.8323,0.7955,0.7644,0.7402,0.7888,0.7646,0.8696,0.7459,0.9652,0.8575,1,mock
b134388d2aa627b15ba2e1bdf63f3b2be2f4c7171c65,0.9783,0.8473,0.6397,0.7806,0.8087,0.6519,0.7396,0.8154,0.7532,0.8425,0.7924,0.8178,0.6875,0.7271,0.7885,0.9095,0.69,1,mock
43046d7ccef8910e6293f406d2fff051a935908376d5,0.1522,0.0,0.0,0.0154,0.0132,0.0481,0.2197,0.0359,0.1247,0.0,0.026,0.1803,0.1562,0.1537,0.1503,0.0215,0.1582,0,mock
f32a37a22774bcfa19a72113a567b9b2be62af903f6c,0.1648,0.0503,0.1749,0.0802,0.1909,0.1737,0.2756,0.0,0.0632,0.0,0.0,0.1753,0.1377,0.0011,0.0517,0.2105,0.107,0,mock
